epoch,train_loss,val_loss,val_rmse
1,0.0524,0.0337,0.1836
2,0.033,0.0358,0.1891
3,0.0332,0.032,0.1788
4,0.0327,0.0335,0.1831
5,0.0328,0.0323,0.1798
6,0.0314,0.0309,0.1756
7,0.0286,0.0263,0.1623
8,0.0261,0.0261,0.1615
9,0.024,0.0237,0.154
10,0.0226,0.0211,0.1454
11,0.0216,0.0206,0.1434
12,0.0201,0.0196,0.1399
13,0.0193,0.0197,0.1403
14,0.0186,0.0191,0.1382
15,0.0181,0.0178,0.1334
16,0.0173,0.0172,0.1312
17,0.0168,0.017,0.1302
18,0.0166,0.0165,0.1286
19,0.0159,0.016,0.1266
20,0.0154,0.0155,0.1247
21,0.015,0.0142,0.119
22,0.0144,0.0152,0.1232
23,0.0145,0.0155,0.1247
24,0.0146,0.015,0.1226
25,0.0141,0.0145,0.1204
26,0.0121,0.012,0.1097
27,0.0108,0.0117,0.108
28,0.0098,0.0106,0.1031
29,0.0093,0.0105,0.1026
30,0.009,0.0105,0.1025
31,0.0086,0.0106,0.1031
32,0.0088,0.0097,0.0987
33,0.0081,0.0099,0.0996
34,0.0084,0.0095,0.0973
35,0.0079,0.0091,0.0952
36,0.0076,0.0097,0.0987
37,0.0074,0.0091,0.0955
38,0.007,0.0086,0.0927
39,0.0076,0.0086,0.0925
40,0.0068,0.0087,0.0935
41,0.0067,0.0088,0.0937
42,0.0061,0.0077,0.0879
43,0.006,0.0077,0.0878
44,0.0063,0.008,0.0893
45,0.0058,0.0074,0.0859
46,0.0057,0.0073,0.0856
47,0.0052,0.0074,0.0859
48,0.0054,0.0073,0.0853
49,0.0051,0.0071,0.084
50,0.0057,0.0081,0.0897
51,0.0049,0.0076,0.0873
52,0.0049,0.007,0.0836
53,0.0048,0.0075,0.0866
54,0.0047,0.0072,0.0851
55,0.0047,0.007,0.0839
56,0.0047,0.0067,0.0818
57,0.0052,0.0077,0.0876
58,0.0048,0.0072,0.0847
59,0.0048,0.0066,0.0813
60,0.0044,0.0067,0.0819
61,0.004,0.0062,0.0786
62,0.004,0.0062,0.079
63,0.0041,0.0063,0.0795
64,0.0042,0.0065,0.0805
65,0.0037,0.0063,0.0795
66,0.003,0.0051,0.0711
67,0.0025,0.0047,0.0686
68,0.0024,0.0048,0.0696
69,0.0022,0.0049,0.0697
70,0.0022,0.0049,0.0697
71,0.0021,0.0049,0.0701
72,0.0019,0.0045,0.0667
73,0.0018,0.0044,0.0661
74,0.0018,0.0043,0.0653
75,0.0016,0.0041,0.0641
76,0.0017,0.0041,0.0642
77,0.0016,0.0042,0.0646
78,0.0016,0.0041,0.0643
79,0.0016,0.0041,0.0637
80,0.0016,0.0042,0.0647
81,0.0016,0.0043,0.0652
82,0.0015,0.0041,0.0641
83,0.0015,0.004,0.0635
84,0.0015,0.0041,0.0638
85,0.0014,0.004,0.063
86,0.0014,0.004,0.0634
87,0.0014,0.0039,0.0625
88,0.0014,0.0039,0.0626
89,0.0014,0.0041,0.064
90,0.0014,0.0041,0.0638
91,0.0013,0.0039,0.0628
92,0.0013,0.0039,0.0623
93,0.0013,0.0038,0.0615
94,0.0012,0.0037,0.0612
95,0.0012,0.0037,0.0607
96,0.0012,0.0037,0.0611
97,0.0012,0.0036,0.0601
98,0.0012,0.0037,0.0607
99,0.0011,0.0036,0.0598
100,0.0012,0.0036,0.0598
101,0.0011,0.0035,0.059
102,0.0011,0.0035,0.0594
103,0.0011,0.0036,0.0597
104,0.0011,0.0035,0.0593
105,0.0011,0.0035,0.0596
106,0.001,0.0035,0.0592
107,0.001,0.0035,0.0593
108,0.001,0.0035,0.0589
109,0.001,0.0035,0.0595
110,0.001,0.0035,0.0588
111,0.001,0.0034,0.0587
112,0.001,0.0034,0.0585
113,0.001,0.0034,0.0585
114,0.001,0.0034,0.0582
115,0.001,0.0035,0.0589
116,0.001,0.0034,0.0579
117,0.001,0.0034,0.058
118,0.001,0.0034,0.058
119,0.001,0.0034,0.0583
120,0.001,0.0034,0.058
